Gelatin_pct,Silk_pct,LH,PP,PS,T,TG_min,Used_crosslinker,Needle,Remarks,Printable
13.6,2.7,0.66,44,11,22.6,10,1,25G,Needs speed,0
12.0,3.8,0.8,36,8,22.9,7,0,25G,Needs speed,0
15.0,5.0,0.71,65,10,24.4,7,1,22G,Printed without error,1
13.5,2.1,0.61,63,8,22.0,3,1,25G,Needs speed,0
13.7,2.1,0.63,31,14,23.3,4,0,22G,No proper adhesion,0
15.5,4.1,0.7,58,10,23.4,4,1,25G,Fine strands and consistency,1
13.6,2.2,0.61,32,8,22.8,12,0,25G,Over-extrusion,0
15.0,4.9,0.72,52,12,22.9,7,1,22G,Smooth layers,1
13.3,2.4,0.7,42,13,22.0,5,1,22G,Choked after 2 layers,0
13.6,3.9,0.61,34,11,23.8,9,0,25G,Choked after 2 layers,0
15.9,4.3,0.69,61,10,24.2,5,1,25G,No interruption,1
14.4,4.3,0.73,51,10,23.4,6,1,25G,Fine strands and consistency,1
13.9,3.4,0.66,49,12,22.6,5,1,25G,Choked after 2 layers,0
15.9,5.2,0.74,52,12,24.3,7,1,25G,No interruption,1
13.1,2.5,0.73,52,11,23.5,1,1,25G,Not smooth,0
15.1,5.1,0.74,64,11,24.0,7,1,22G,Good print,1
14.8,5.1,0.65,63,11,23.2,6,1,25G,No interruption,1
12.9,3.9,0.76,66,11,24.5,11,1,25G,Choked after 2 layers,0
13.0,3.2,0.61,58,14,23.3,7,0,25G,Not smooth,0
14.5,4.0,0.69,59,11,23.6,7,1,22G,Smooth layers,1
14.5,5.3,0.67,58,11,23.3,4,1,22G,Good print,1
14.0,3.8,0.74,47,12,22.4,11,0,22G,No proper adhesion,0
15.2,5.5,0.75,58,9,24.2,4,1,25G,Printed without error,1
12.7,3.5,0.61,49,11,23.3,12,0,25G,Needs speed,0
14.4,5.3,0.67,51,11,24.3,7,1,22G,Good print quality,1
15.4,4.4,0.73,63,10,22.9,5,1,22G,Stable structure,1
12.5,3.2,0.75,30,9,23.6,2,0,22G,Needs speed,0
13.2,2.5,0.6,64,14,23.2,4,0,22G,Choked after 2 layers,0
15.1,4.2,0.69,64,9,23.4,7,1,22G,Smooth layers,1
13.0,2.5,0.77,46,10,22.0,11,0,25G,Over-extrusion,0
15.4,5.4,0.69,55,12,23.8,6,1,22G,Good print,1
15.9,5.6,0.65,54,11,24.0,4,1,25G,No interruption,1
15.6,5.9,0.72,54,11,23.3,4,1,25G,Printed without error,1
13.0,2.0,0.68,33,8,23.7,9,1,22G,Over-extrusion,0
13.2,3.1,0.7,30,9,24.0,7,0,22G,Needs speed,0
14.0,3.1,0.64,49,9,24.0,11,1,22G,Unstable base,0
15.9,4.0,0.66,53,12,23.4,6,1,22G,Stable structure,1
15.9,4.0,0.73,52,11,23.5,4,1,22G,Stable structure,1
14.6,5.7,0.7,51,9,23.8,4,1,22G,Printed without error,1
14.5,5.5,0.74,59,10,23.1,6,1,25G,No interruption,1
15.7,5.8,0.69,50,12,24.3,6,1,22G,Stable structure,1
15.2,4.2,0.74,55,12,24.2,7,1,22G,Smooth layers,1
14.8,5.8,0.69,63,9,22.5,5,1,22G,Fine strands and consistency,1
15.6,4.6,0.67,63,11,23.0,5,1,25G,Fine strands and consistency,1
13.8,2.3,0.66,69,11,22.3,9,1,25G,Not smooth,0
15.8,5.4,0.68,57,12,23.7,4,1,25G,Fine strands and consistency,1
15.4,4.7,0.73,52,12,23.8,4,1,22G,Stable structure,1
12.1,3.0,0.73,69,8,24.2,10,1,25G,Not smooth,0
14.5,4.6,0.72,54,9,22.9,4,1,25G,No interruption,1
14.2,4.1,0.69,57,9,23.3,5,1,22G,Printed without error,1
12.3,2.2,0.72,60,13,23.9,0,1,22G,Over-extrusion,0
14.2,5.3,0.71,56,10,23.2,6,1,25G,Stable structure,1
13.7,2.2,0.67,38,9,23.6,10,0,25G,Needs speed,0
15.7,4.8,0.65,61,9,23.8,4,1,22G,Fine strands and consistency,1
12.7,3.9,0.7,41,14,23.6,9,1,22G,Needs speed,0
14.2,5.8,0.72,51,11,23.3,5,1,22G,Good print,1
15.6,5.3,0.7,55,10,22.8,4,1,22G,Printed without error,1
13.7,2.4,0.62,62,13,23.5,10,0,22G,Not smooth,0
12.7,2.8,0.8,53,14,23.8,8,0,25G,Unstable base,0
12.8,3.1,0.76,62,10,23.3,3,0,25G,Needs speed,0
15.4,5.5,0.74,56,10,24.1,4,1,22G,Printed without error,1
14.1,4.9,0.71,58,10,23.6,7,1,22G,Good print quality,1
12.6,2.6,0.74,41,14,24.0,10,0,25G,Over-extrusion,0
15.5,5.3,0.71,52,10,23.3,6,1,25G,Fine strands and consistency,1
15.2,5.7,0.66,50,12,22.5,6,1,22G,Good print,1
12.3,3.8,0.67,31,14,24.4,5,0,25G,Over-extrusion,0
15.0,5.0,0.7,57,12,22.9,5,1,22G,Good print,1
12.4,2.2,0.71,54,8,23.4,3,0,22G,Needs speed,0
13.7,3.4,0.75,47,13,23.6,11,1,22G,Unstable base,0
15.9,5.9,0.71,65,10,23.8,5,1,25G,Good print,1
15.0,5.8,0.65,61,10,23.8,6,1,22G,Fine strands and consistency,1
12.7,2.6,0.61,58,10,22.1,5,0,22G,Over-extrusion,0
12.2,2.0,0.77,44,14,23.1,12,1,25G,Over-extrusion,0
13.3,2.9,0.74,50,9,22.2,10,0,22G,Not smooth,0
14.0,5.1,0.68,50,11,24.2,7,1,22G,Printed without error,1
12.4,2.9,0.68,67,12,22.4,12,0,22G,Not smooth,0
12.6,3.7,0.77,37,9,23.5,6,1,25G,Over-extrusion,0
13.5,3.1,0.75,37,9,23.7,8,1,22G,Not smooth,0
15.3,4.7,0.66,50,10,23.2,7,1,22G,Good print,1
12.9,2.7,0.78,59,11,22.0,10,0,22G,Choked after 2 layers,0
14.6,4.0,0.71,63,11,22.7,6,1,22G,Fine strands and consistency,1
15.6,5.6,0.7,60,9,23.5,5,1,22G,Smooth layers,1
14.0,2.5,0.62,41,10,23.9,10,0,25G,Needs speed,0
12.9,3.0,0.65,44,13,22.3,12,0,22G,Choked after 2 layers,0
14.3,5.0,0.68,54,10,24.1,6,1,25G,Smooth layers,1
15.2,5.7,0.69,61,9,23.6,6,1,25G,Good print quality,1
13.3,3.5,0.66,66,12,24.5,9,1,25G,Unstable base,0
15.2,5.0,0.66,54,12,23.1,5,1,25G,Good print quality,1
13.6,2.9,0.79,50,12,22.1,3,0,22G,Needs speed,0
13.6,3.2,0.71,47,12,23.9,4,0,22G,Over-extrusion,0
13.8,2.8,0.72,65,9,22.7,3,1,22G,No proper adhesion,0
13.6,2.5,0.72,31,10,23.2,10,1,22G,Not smooth,0
12.9,3.5,0.75,32,11,22.5,12,1,22G,Unstable base,0
14.7,4.8,0.74,64,11,22.5,4,1,22G,Printed without error,1
14.5,5.8,0.69,61,12,23.5,4,1,22G,No interruption,1
15.5,4.4,0.66,55,10,23.8,5,1,22G,Fine strands and consistency,1
12.0,2.9,0.75,46,12,23.3,6,0,25G,Not smooth,0
15.1,4.9,0.71,61,12,24.2,4,1,25G,Stable structure,1
13.5,2.8,0.63,42,14,22.4,10,1,25G,Choked after 2 layers,0
12.3,3.8,0.79,37,14,22.2,6,0,25G,Choked after 2 layers,0
14.9,5.3,0.67,61,12,22.8,7,1,22G,No interruption,1
15.8,4.9,0.74,52,10,24.4,5,1,22G,Fine strands and consistency,1
15.4,4.2,0.72,58,9,23.2,6,1,22G,No interruption,1
14.4,4.8,0.7,65,12,24.3,5,1,22G,Good print quality,1
13.7,3.9,0.68,41,11,24.1,1,0,25G,Choked after 2 layers,0
16.0,5.5,0.74,51,11,23.4,4,1,25G,Good print quality,1
12.1,3.2,0.65,51,11,23.6,9,0,22G,Over-extrusion,0
12.0,2.7,0.71,54,8,23.3,2,1,22G,Needs speed,0
13.0,2.7,0.75,47,12,24.3,3,1,25G,Over-extrusion,0
13.5,3.4,0.6,70,12,24.1,5,0,22G,Needs speed,0
13.7,3.6,0.75,52,14,24.0,7,1,22G,No proper adhesion,0
14.6,4.7,0.66,52,9,23.7,4,1,25G,Good print,1
14.0,2.5,0.73,48,11,23.7,11,1,25G,Unstable base,0
14.3,4.9,0.71,50,12,23.9,4,1,22G,Smooth layers,1
13.3,2.2,0.73,40,10,22.8,3,1,25G,Needs speed,0
12.9,2.8,0.65,67,9,24.1,8,0,22G,Unstable base,0
16.0,5.2,0.69,65,12,24.0,5,1,25G,Stable structure,1
15.2,4.0,0.74,51,11,23.4,5,1,22G,Stable structure,1
14.8,5.5,0.67,55,10,23.2,4,1,22G,Printed without error,1
15.4,5.2,0.72,61,12,22.7,7,1,22G,Printed without error,1
12.1,2.3,0.64,47,10,24.3,1,0,25G,Over-extrusion,0
13.5,3.0,0.62,31,12,23.6,11,0,25G,Not smooth,0
12.3,2.3,0.61,40,11,23.0,11,0,22G,Unstable base,0
16.0,4.5,0.73,52,11,23.4,4,1,25G,No interruption,1
14.1,5.2,0.74,62,10,23.4,7,1,25G,Printed without error,1
13.8,3.6,0.65,61,9,24.1,11,1,22G,Needs speed,0
12.3,2.0,0.76,59,8,22.3,11,0,22G,Choked after 2 layers,0
14.0,4.4,0.7,65,10,23.8,7,1,22G,Printed without error,1
15.2,5.0,0.66,59,10,24.1,4,1,22G,Good print quality,1
13.4,2.3,0.7,31,13,23.8,9,0,25G,Needs speed,0
15.9,4.2,0.73,59,12,24.3,6,1,25G,No interruption,1
14.4,4.1,0.73,62,10,23.9,5,1,22G,Stable structure,1
13.4,2.3,0.61,66,9,24.3,12,0,22G,Not smooth,0
14.8,4.1,0.74,62,10,23.4,7,1,25G,Good print quality,1
12.9,3.7,0.79,44,12,24.1,3,0,25G,Not smooth,0
15.2,5.3,0.66,53,12,24.5,5,1,22G,Stable structure,1
12.9,2.3,0.67,60,8,24.0,0,0,22G,Over-extrusion,0
12.4,2.6,0.71,47,8,22.8,7,1,22G,Not smooth,0
15.3,4.7,0.68,64,11,23.4,5,1,25G,Good print,1
12.5,2.8,0.8,62,11,22.9,10,0,25G,Needs speed,0
13.5,2.5,0.71,39,10,23.5,11,1,22G,No proper adhesion,0
13.3,2.7,0.65,67,14,22.6,7,0,22G,Not smooth,0
14.1,4.7,0.69,56,12,22.9,5,1,25G,Fine strands and consistency,1
15.3,4.6,0.74,61,12,24.5,5,1,22G,Printed without error,1
15.6,4.4,0.72,54,11,24.5,4,1,25G,Stable structure,1
12.9,3.5,0.67,57,14,22.4,1,0,25G,Choked after 2 layers,0
13.9,3.1,0.62,61,11,22.1,10,1,22G,Over-extrusion,0
12.9,2.6,0.76,35,14,22.2,12,1,22G,No proper adhesion,0
13.3,3.8,0.63,56,14,23.3,12,1,22G,Needs speed,0
14.7,4.6,0.73,53,11,23.2,7,1,25G,Fine strands and consistency,1
12.2,3.4,0.79,55,9,23.2,4,0,22G,Choked after 2 layers,0
12.0,2.1,0.72,51,12,23.9,12,1,22G,Unstable base,0
15.5,5.2,0.68,62,11,23.7,7,1,25G,Good print quality,1
13.3,2.9,0.72,56,10,24.2,3,1,25G,Not smooth,0
15.4,4.4,0.74,53,11,24.0,7,1,25G,Smooth layers,1
14.5,5.5,0.7,52,12,24.5,6,1,25G,No interruption,1
15.6,5.6,0.65,57,11,23.7,7,1,22G,Fine strands and consistency,1
13.6,3.0,0.76,60,12,24.4,1,1,25G,Choked after 2 layers,0
12.6,3.9,0.74,35,10,24.0,8,0,25G,Needs speed,0
12.8,3.7,0.76,34,14,22.1,1,1,22G,Choked after 2 layers,0
13.8,3.0,0.68,35,14,23.1,2,0,25G,No proper adhesion,0
14.3,4.3,0.68,60,10,23.1,6,1,22G,No interruption,1
14.3,4.6,0.67,54,11,22.5,4,1,25G,Stable structure,1
14.6,4.1,0.74,60,10,23.8,5,1,25G,Stable structure,1
14.3,5.8,0.73,53,9,23.1,7,1,22G,No interruption,1
13.0,3.5,0.68,61,14,22.6,9,0,22G,Not smooth,0
14.4,5.0,0.72,64,9,23.7,5,1,25G,Good print quality,1
14.6,4.8,0.65,59,9,22.7,7,1,25G,Stable structure,1
12.3,2.5,0.63,48,14,22.9,8,1,22G,Over-extrusion,0
14.1,5.4,0.73,59,10,23.8,7,1,22G,Good print,1
14.2,4.3,0.69,53,12,24.0,4,1,22G,Fine strands and consistency,1
13.1,3.9,0.76,35,9,23.2,7,1,22G,Unstable base,0
13.3,3.4,0.65,67,10,22.6,11,1,22G,No proper adhesion,0
15.4,5.8,0.69,57,12,23.8,6,1,22G,No interruption,1
15.6,4.5,0.69,64,9,24.5,4,1,22G,Good print,1
13.6,3.6,0.61,68,11,23.7,1,1,22G,Over-extrusion,0
13.6,3.5,0.77,58,13,23.7,10,0,25G,Unstable base,0
12.1,3.7,0.65,54,9,22.0,6,1,22G,Needs speed,0
14.9,5.3,0.7,59,12,22.7,6,1,25G,Printed without error,1
12.3,2.2,0.62,48,14,23.1,7,1,22G,Over-extrusion,0
14.1,5.3,0.69,56,11,23.1,6,1,22G,Stable structure,1
15.2,4.1,0.69,62,12,24.4,7,1,22G,Stable structure,1
12.4,2.5,0.74,57,14,24.1,6,0,25G,Over-extrusion,0
12.8,3.1,0.68,43,9,22.5,0,1,22G,Not smooth,0
14.0,5.9,0.65,57,9,23.2,6,1,25G,Stable structure,1
13.9,3.0,0.79,46,14,23.8,3,0,22G,Choked after 2 layers,0
12.8,2.9,0.62,47,13,22.4,11,0,25G,Choked after 2 layers,0
12.9,2.6,0.66,45,11,22.4,11,1,22G,Not smooth,0
13.0,3.1,0.64,42,9,24.2,10,0,25G,Unstable base,0
15.3,4.3,0.68,61,10,23.4,7,1,25G,Smooth layers,1
15.7,4.5,0.71,51,10,22.8,4,1,22G,Good print quality,1
15.7,4.6,0.69,56,9,23.9,7,1,22G,Good print quality,1
13.0,3.3,0.61,69,10,23.1,9,1,22G,Choked after 2 layers,0
13.7,2.4,0.63,54,11,23.2,4,1,22G,Needs speed,0
13.3,3.2,0.69,63,12,23.2,6,0,22G,Unstable base,0
13.5,3.2,0.69,64,11,23.8,1,1,22G,Needs speed,0
12.4,2.3,0.64,70,11,22.6,10,1,22G,Choked after 2 layers,0
15.3,5.1,0.74,57,12,22.6,5,1,25G,Good print,1
13.7,2.8,0.65,38,8,22.2,3,1,25G,No proper adhesion,0
14.6,5.5,0.71,64,12,23.6,6,1,22G,No interruption,1
13.5,3.3,0.78,36,11,22.7,11,0,22G,No proper adhesion,0
13.7,2.6,0.79,69,12,23.5,11,1,22G,Unstable base,0
12.6,3.1,0.7,51,12,23.0,3,0,22G,Choked after 2 layers,0
14.9,5.1,0.68,57,9,24.4,7,1,25G,Fine strands and consistency,1
15.5,4.2,0.74,61,9,22.8,4,1,22G,Good print,1
14.6,4.8,0.7,53,9,23.1,5,1,22G,Printed without error,1
15.3,4.3,0.65,58,10,22.6,7,1,22G,Stable structure,1
14.4,5.4,0.69,54,9,22.5,4,1,22G,No interruption,1
15.5,4.2,0.67,60,9,24.2,5,1,25G,Good print quality,1
15.6,5.6,0.69,53,12,23.1,6,1,25G,Stable structure,1
15.4,4.9,0.67,63,10,23.9,7,1,22G,Good print,1
15.4,5.5,0.71,54,12,22.8,5,1,25G,Fine strands and consistency,1
13.9,2.1,0.7,43,12,22.3,12,0,22G,No proper adhesion,0
15.7,4.9,0.66,62,11,23.9,6,1,22G,No interruption,1
15.6,5.2,0.69,50,11,23.1,5,1,22G,Good print quality,1
14.9,4.4,0.68,58,9,23.2,5,1,22G,No interruption,1
13.4,2.6,0.75,34,12,23.8,0,1,22G,Choked after 2 layers,0
15.5,5.5,0.75,58,12,22.9,6,1,22G,Good print quality,1
15.7,5.1,0.72,63,12,22.6,7,1,22G,Fine strands and consistency,1
13.6,2.2,0.65,35,13,24.3,11,1,22G,Not smooth,0
12.8,3.7,0.78,30,13,23.9,8,1,22G,Choked after 2 layers,0
14.8,4.4,0.71,51,11,24.0,6,1,22G,Good print,1
13.3,2.7,0.69,70,14,24.3,9,1,25G,Choked after 2 layers,0
12.7,3.9,0.65,36,10,23.6,6,0,22G,Unstable base,0
14.7,4.5,0.72,62,11,24.1,7,1,25G,Smooth layers,1
15.0,4.9,0.65,59,12,23.5,6,1,25G,Smooth layers,1
13.9,2.6,0.76,52,11,23.1,3,0,25G,Not smooth,0
12.5,3.8,0.65,58,11,22.9,2,0,22G,Over-extrusion,0
13.7,3.4,0.7,35,12,22.5,10,0,25G,No proper adhesion,0
13.0,2.9,0.64,46,8,22.2,12,0,25G,Not smooth,0
12.5,2.1,0.7,60,13,23.1,3,0,25G,Over-extrusion,0
15.9,4.5,0.67,58,12,23.2,7,1,22G,Good print,1
14.6,4.3,0.7,56,12,22.8,6,1,25G,Good print quality,1
12.9,2.1,0.61,64,8,23.6,7,1,25G,No proper adhesion,0
12.3,3.5,0.72,35,10,23.8,5,0,22G,Not smooth,0
14.3,4.1,0.69,55,10,24.0,4,1,22G,Smooth layers,1
13.0,3.2,0.78,38,10,23.9,4,0,22G,Unstable base,0
12.4,2.2,0.62,43,9,23.5,4,0,22G,Not smooth,0
12.1,3.9,0.76,51,11,24.0,6,0,22G,Choked after 2 layers,0
13.1,2.9,0.62,39,14,24.4,8,1,22G,Needs speed,0
15.1,5.0,0.73,60,11,24.2,4,1,22G,No interruption,1
15.3,5.1,0.67,51,10,23.4,4,1,25G,Printed without error,1
13.9,2.9,0.68,54,8,22.4,2,1,25G,Over-extrusion,0
15.5,5.5,0.67,60,9,23.7,5,1,22G,Good print quality,1
15.9,6.0,0.75,56,9,23.4,6,1,22G,Good print,1
13.7,3.3,0.63,65,9,23.2,0,0,25G,Unstable base,0
15.9,4.8,0.71,58,10,24.3,7,1,25G,Stable structure,1
13.5,3.2,0.65,45,11,23.5,2,0,25G,Choked after 2 layers,0
16.0,5.1,0.65,60,12,23.5,4,1,25G,Good print,1
12.3,3.8,0.66,45,12,23.5,4,1,22G,Choked after 2 layers,0
14.3,5.3,0.73,64,9,23.9,7,1,22G,Printed without error,1
14.4,4.9,0.73,50,12,23.3,5,1,25G,No interruption,1
13.9,3.6,0.8,39,9,24.3,3,0,22G,Choked after 2 layers,0
15.5,5.8,0.73,55,12,23.7,5,1,22G,Printed without error,1
